endpoint,method,probe,http_code,body_size,issue
/api/questions,POST,empty,400,43,OK
/api/questions,POST,wrong_ct,400,43,OK
/api/questions,POST,huge,400,35,OK
/api/questions,POST,valid,400,43,HTTP_400
/api/reviews,POST,empty,400,43,OK
/api/reviews,POST,valid,400,43,HTTP_400
/api/trip-reports,POST,empty,400,43,OK
/api/trip-reports,POST,valid,400,43,HTTP_400
/api/suggestions,POST,empty,400,44,OK
/api/suggestions,POST,honeypot,400,44,HTTP_400
/api/membership,POST,empty,400,36,OK
/api/quiz-match,POST,empty,400,38,OK
/api/quiz-match,POST,invalid,400,38,OK
/api/chat,POST,empty,400,28,OK
/api/chat,POST,huge,500,32,UNEXPECTED_500
/api/itinerary,POST,empty,400,35,OK
/api/itinerary,POST,month_999,400,41,OK
/api/itinerary,POST,days_-5,400,29,OK
/api/newsletter/subscribe,POST,empty,400,25,OK
/api/newsletter/subscribe,POST,invalid_email,400,25,OK
/api/newsletter/subscribe,POST,valid_pattern,200,11,OK
/api/weather,GET,no_param,400,34,HTTP_400
/api/weather,GET,id_xss,404,47,HTTP_404
/api/weather,GET,valid,200,159,OK
/api/alerts,GET,no_param,200,13,OK
/api/alerts,GET,valid,200,194,OK
/api/content,GET,valid,200,11324,OK
/api/weekly-picks,GET,valid,200,3499,OK
/api/admin/questions,POST,no_bearer,401,24,OK
/api/admin/reviews,POST,no_bearer,401,24,OK
/api/admin/trip-reports,POST,no_bearer,401,24,OK
/api/admin/sos,POST,no_bearer,401,24,OK
/api/admin/stay-picks,POST,no_bearer,401,24,OK
/api/admin/citations/log,POST,no_bearer,401,24,OK
/api/admin/revalidate,POST,no_bearer,401,24,OK
